framework_key,framework_name,requirement_key,title,category,requirement_type,description,source_reference,measurement_key,evidence_types,verification_mode,verification_label,verification_guidance,canonical_control_key,canonical_control_name,mapping_status,mapping_type,mapping_confidence,mapping_basis,mapping_review_status,mapping_limitation,mapping_next_step,assessment_granularity,assessment_methods,scoring_model,required_artifacts,audit_boundary,authority_statement,assessment_method_reference,assessment_objective,applicability,pass_criteria,partial_criteria,fail_criteria,level_1,level_2,level_3,level_4
cis-controls-8.1,CIS Critical Security Controls,cis.01,Inventory and Control of Enterprise Assets,Asset management,Control,"Actively manage, track, and correct enterprise assets connected to the infrastructure.",CIS Controls v8.1: Control 1,,asset_inventory; reconciliation_report,hybrid,Document + Splunk tracking,"Use the check detail page to review evidence, record the assessment, and document any exception.",category.asset-management,Asset management,provisional,rollup,medium,CIS Controls v8.1 Control titles and implementation-group structure support grouping safeguards into shared security capability areas.,approved_for_rollup,This catalog is at Control level. CIS v8.1 contains 153 safeguards; safeguard-level assessment and the CIS Assessment Specification are required for an audit conclusion.,"Add safeguard-level content, implementation groups, and CAS measurement procedures.",Safeguard,CIS Assessment Specification measures; procedure review where specified,Safeguard implementation status; organization-defined scope and exceptions,CIS safeguard scope; CAS inputs and measures; implementation evidence; exception record,"CIS Controls are a prioritized control set; this app provides readiness evidence, not CIS certification",Control-level rows are roll-up navigation until safeguard-level CAS content is loaded and reviewed,CIS Controls Assessment Specification safeguard measurement procedures,Determine whether the Inventory and Control of Enterprise Assets safeguard area is implemented for the defined scope using the applicable CIS Assessment Specification measures.,Apply to the safeguards and implementation group in scope; record exclusions and dependencies.,"Applicable CAS measures and operating evidence meet the defined safeguard outcome, with exceptions owned and current.","Implementation evidence exists but one or more applicable measures, dependencies, or exceptions remain incomplete.",The safeguard outcome cannot be demonstrated with current evidence or the applicable measures are materially unmet.,,,,
cis-controls-8.1,CIS Critical Security Controls,cis.02,Inventory and Control of Software Assets,Asset management,Control,"Actively manage, track, and correct software on enterprise assets.",CIS Controls v8.1: Control 2,,software_inventory; approved_software_list,hybrid,Document + Splunk tracking,"Use the check detail page to review evidence, record the assessment, and document any exception.",category.asset-management,Asset management,provisional,rollup,medium,CIS Controls v8.1 Control titles and implementation-group structure support grouping safeguards into shared security capability areas.,approved_for_rollup,This catalog is at Control level. CIS v8.1 contains 153 safeguards; safeguard-level assessment and the CIS Assessment Specification are required for an audit conclusion.,"Add safeguard-level content, implementation groups, and CAS measurement procedures.",Safeguard,CIS Assessment Specification measures; procedure review where specified,Safeguard implementation status; organization-defined scope and exceptions,CIS safeguard scope; CAS inputs and measures; implementation evidence; exception record,"CIS Controls are a prioritized control set; this app provides readiness evidence, not CIS certification",Control-level rows are roll-up navigation until safeguard-level CAS content is loaded and reviewed,CIS Controls Assessment Specification safeguard measurement procedures,Determine whether the Inventory and Control of Software Assets safeguard area is implemented for the defined scope using the applicable CIS Assessment Specification measures.,Apply to the safeguards and implementation group in scope; record exclusions and dependencies.,"Applicable CAS measures and operating evidence meet the defined safeguard outcome, with exceptions owned and current.","Implementation evidence exists but one or more applicable measures, dependencies, or exceptions remain incomplete.",The safeguard outcome cannot be demonstrated with current evidence or the applicable measures are materially unmet.,,,,
cis-controls-8.1,CIS Critical Security Controls,cis.03,Data Protection,Data protection,Control,"Identify, classify, securely handle, retain, and dispose of data.",CIS Controls v8.1: Control 3,,data_inventory; classification_policy; access_review,hybrid,Document + Splunk tracking,"Use the check detail page to review evidence, record the assessment, and document any exception.",category.data-protection,Data protection,provisional,rollup,medium,CIS Controls v8.1 Control titles and implementation-group structure support grouping safeguards into shared security capability areas.,approved_for_rollup,This catalog is at Control level. CIS v8.1 contains 153 safeguards; safeguard-level assessment and the CIS Assessment Specification are required for an audit conclusion.,"Add safeguard-level content, implementation groups, and CAS measurement procedures.",Safeguard,CIS Assessment Specification measures; procedure review where specified,Safeguard implementation status; organization-defined scope and exceptions,CIS safeguard scope; CAS inputs and measures; implementation evidence; exception record,"CIS Controls are a prioritized control set; this app provides readiness evidence, not CIS certification",Control-level rows are roll-up navigation until safeguard-level CAS content is loaded and reviewed,CIS Controls Assessment Specification safeguard measurement procedures,Determine whether the Data Protection safeguard area is implemented for the defined scope using the applicable CIS Assessment Specification measures.,Apply to the safeguards and implementation group in scope; record exclusions and dependencies.,"Applicable CAS measures and operating evidence meet the defined safeguard outcome, with exceptions owned and current.","Implementation evidence exists but one or more applicable measures, dependencies, or exceptions remain incomplete.",The safeguard outcome cannot be demonstrated with current evidence or the applicable measures are materially unmet.,,,,
cis-controls-8.1,CIS Critical Security Controls,cis.04,Secure Configuration of Enterprise Assets and Software,Configuration management,Control,Establish and maintain secure configuration processes for enterprise assets and software.,CIS Controls v8.1: Control 4,,configuration_baseline; configuration_scan,hybrid,Document + Splunk tracking,"Use the check detail page to review evidence, record the assessment, and document any exception.",category.configuration-management,Configuration management,provisional,rollup,medium,CIS Controls v8.1 Control titles and implementation-group structure support grouping safeguards into shared security capability areas.,approved_for_rollup,This catalog is at Control level. CIS v8.1 contains 153 safeguards; safeguard-level assessment and the CIS Assessment Specification are required for an audit conclusion.,"Add safeguard-level content, implementation groups, and CAS measurement procedures.",Safeguard,CIS Assessment Specification measures; procedure review where specified,Safeguard implementation status; organization-defined scope and exceptions,CIS safeguard scope; CAS inputs and measures; implementation evidence; exception record,"CIS Controls are a prioritized control set; this app provides readiness evidence, not CIS certification",Control-level rows are roll-up navigation until safeguard-level CAS content is loaded and reviewed,CIS Controls Assessment Specification safeguard measurement procedures,Determine whether the Secure Configuration of Enterprise Assets and Software safeguard area is implemented for the defined scope using the applicable CIS Assessment Specification measures.,Apply to the safeguards and implementation group in scope; record exclusions and dependencies.,"Applicable CAS measures and operating evidence meet the defined safeguard outcome, with exceptions owned and current.","Implementation evidence exists but one or more applicable measures, dependencies, or exceptions remain incomplete.",The safeguard outcome cannot be demonstrated with current evidence or the applicable measures are materially unmet.,,,,
cis-controls-8.1,CIS Critical Security Controls,cis.05,Account Management,Identity,Control,Assign and manage authorization to credentials and accounts.,CIS Controls v8.1: Control 5,,account_inventory; access_review,hybrid,Document + Splunk tracking,"Use the check detail page to review evidence, record the assessment, and document any exception.",category.identity,Identity,provisional,rollup,medium,CIS Controls v8.1 Control titles and implementation-group structure support grouping safeguards into shared security capability areas.,approved_for_rollup,This catalog is at Control level. CIS v8.1 contains 153 safeguards; safeguard-level assessment and the CIS Assessment Specification are required for an audit conclusion.,"Add safeguard-level content, implementation groups, and CAS measurement procedures.",Safeguard,CIS Assessment Specification measures; procedure review where specified,Safeguard implementation status; organization-defined scope and exceptions,CIS safeguard scope; CAS inputs and measures; implementation evidence; exception record,"CIS Controls are a prioritized control set; this app provides readiness evidence, not CIS certification",Control-level rows are roll-up navigation until safeguard-level CAS content is loaded and reviewed,CIS Controls Assessment Specification safeguard measurement procedures,Determine whether the Account Management safeguard area is implemented for the defined scope using the applicable CIS Assessment Specification measures.,Apply to the safeguards and implementation group in scope; record exclusions and dependencies.,"Applicable CAS measures and operating evidence meet the defined safeguard outcome, with exceptions owned and current.","Implementation evidence exists but one or more applicable measures, dependencies, or exceptions remain incomplete.",The safeguard outcome cannot be demonstrated with current evidence or the applicable measures are materially unmet.,,,,
cis-controls-8.1,CIS Critical Security Controls,cis.06,Access Control Management,Identity,Control,"Create, assign, manage, and revoke access credentials and privileges.",CIS Controls v8.1: Control 6,,privileged_access_review; role_matrix,hybrid,Document + Splunk tracking,"Use the check detail page to review evidence, record the assessment, and document any exception.",category.identity,Identity,provisional,rollup,medium,CIS Controls v8.1 Control titles and implementation-group structure support grouping safeguards into shared security capability areas.,approved_for_rollup,This catalog is at Control level. CIS v8.1 contains 153 safeguards; safeguard-level assessment and the CIS Assessment Specification are required for an audit conclusion.,"Add safeguard-level content, implementation groups, and CAS measurement procedures.",Safeguard,CIS Assessment Specification measures; procedure review where specified,Safeguard implementation status; organization-defined scope and exceptions,CIS safeguard scope; CAS inputs and measures; implementation evidence; exception record,"CIS Controls are a prioritized control set; this app provides readiness evidence, not CIS certification",Control-level rows are roll-up navigation until safeguard-level CAS content is loaded and reviewed,CIS Controls Assessment Specification safeguard measurement procedures,Determine whether the Access Control Management safeguard area is implemented for the defined scope using the applicable CIS Assessment Specification measures.,Apply to the safeguards and implementation group in scope; record exclusions and dependencies.,"Applicable CAS measures and operating evidence meet the defined safeguard outcome, with exceptions owned and current.","Implementation evidence exists but one or more applicable measures, dependencies, or exceptions remain incomplete.",The safeguard outcome cannot be demonstrated with current evidence or the applicable measures are materially unmet.,,,,
cis-controls-8.1,CIS Critical Security Controls,cis.07,Continuous Vulnerability Management,Vulnerability management,Control,Continuously evaluate and track vulnerabilities on enterprise assets.,CIS Controls v8.1: Control 7,,vulnerability_scan; remediation_report,hybrid,Document + Splunk tracking,"Use the check detail page to review evidence, record the assessment, and document any exception.",category.vulnerability-management,Vulnerability management,provisional,rollup,medium,CIS Controls v8.1 Control titles and implementation-group structure support grouping safeguards into shared security capability areas.,approved_for_rollup,This catalog is at Control level. CIS v8.1 contains 153 safeguards; safeguard-level assessment and the CIS Assessment Specification are required for an audit conclusion.,"Add safeguard-level content, implementation groups, and CAS measurement procedures.",Safeguard,CIS Assessment Specification measures; procedure review where specified,Safeguard implementation status; organization-defined scope and exceptions,CIS safeguard scope; CAS inputs and measures; implementation evidence; exception record,"CIS Controls are a prioritized control set; this app provides readiness evidence, not CIS certification",Control-level rows are roll-up navigation until safeguard-level CAS content is loaded and reviewed,CIS Controls Assessment Specification safeguard measurement procedures,Determine whether the Continuous Vulnerability Management safeguard area is implemented for the defined scope using the applicable CIS Assessment Specification measures.,Apply to the safeguards and implementation group in scope; record exclusions and dependencies.,"Applicable CAS measures and operating evidence meet the defined safeguard outcome, with exceptions owned and current.","Implementation evidence exists but one or more applicable measures, dependencies, or exceptions remain incomplete.",The safeguard outcome cannot be demonstrated with current evidence or the applicable measures are materially unmet.,,,,
cis-controls-8.1,CIS Critical Security Controls,cis.08,Audit Log Management,Logging,Control,"Collect, alert, review, and retain audit logs to detect and recover from attacks.",CIS Controls v8.1: Control 8,,log_source_inventory; retention_policy; alert_history,hybrid,Document + Splunk tracking,"Use the check detail page to review evidence, record the assessment, and document any exception.",category.logging,Logging,provisional,rollup,medium,CIS Controls v8.1 Control titles and implementation-group structure support grouping safeguards into shared security capability areas.,approved_for_rollup,This catalog is at Control level. CIS v8.1 contains 153 safeguards; safeguard-level assessment and the CIS Assessment Specification are required for an audit conclusion.,"Add safeguard-level content, implementation groups, and CAS measurement procedures.",Safeguard,CIS Assessment Specification measures; procedure review where specified,Safeguard implementation status; organization-defined scope and exceptions,CIS safeguard scope; CAS inputs and measures; implementation evidence; exception record,"CIS Controls are a prioritized control set; this app provides readiness evidence, not CIS certification",Control-level rows are roll-up navigation until safeguard-level CAS content is loaded and reviewed,CIS Controls Assessment Specification safeguard measurement procedures,Determine whether the Audit Log Management safeguard area is implemented for the defined scope using the applicable CIS Assessment Specification measures.,Apply to the safeguards and implementation group in scope; record exclusions and dependencies.,"Applicable CAS measures and operating evidence meet the defined safeguard outcome, with exceptions owned and current.","Implementation evidence exists but one or more applicable measures, dependencies, or exceptions remain incomplete.",The safeguard outcome cannot be demonstrated with current evidence or the applicable measures are materially unmet.,,,,
cis-controls-8.1,CIS Critical Security Controls,cis.09,Email and Web Browser Protections,Protection,Control,Improve protections and detections for email and web browser attack vectors.,CIS Controls v8.1: Control 9,,gateway_configuration; malware_alerts,hybrid,Document + Splunk tracking,"Use the check detail page to review evidence, record the assessment, and document any exception.",category.protection,Protection,provisional,rollup,medium,CIS Controls v8.1 Control titles and implementation-group structure support grouping safeguards into shared security capability areas.,approved_for_rollup,This catalog is at Control level. CIS v8.1 contains 153 safeguards; safeguard-level assessment and the CIS Assessment Specification are required for an audit conclusion.,"Add safeguard-level content, implementation groups, and CAS measurement procedures.",Safeguard,CIS Assessment Specification measures; procedure review where specified,Safeguard implementation status; organization-defined scope and exceptions,CIS safeguard scope; CAS inputs and measures; implementation evidence; exception record,"CIS Controls are a prioritized control set; this app provides readiness evidence, not CIS certification",Control-level rows are roll-up navigation until safeguard-level CAS content is loaded and reviewed,CIS Controls Assessment Specification safeguard measurement procedures,Determine whether the Email and Web Browser Protections safeguard area is implemented for the defined scope using the applicable CIS Assessment Specification measures.,Apply to the safeguards and implementation group in scope; record exclusions and dependencies.,"Applicable CAS measures and operating evidence meet the defined safeguard outcome, with exceptions owned and current.","Implementation evidence exists but one or more applicable measures, dependencies, or exceptions remain incomplete.",The safeguard outcome cannot be demonstrated with current evidence or the applicable measures are materially unmet.,,,,
cis-controls-8.1,CIS Critical Security Controls,cis.10,Malware Defenses,Protection,Control,"Prevent or control the installation, spread, and execution of malicious code.",CIS Controls v8.1: Control 10,,endpoint_coverage; malware_alerts,hybrid,Document + Splunk tracking,"Use the check detail page to review evidence, record the assessment, and document any exception.",category.protection,Protection,provisional,rollup,medium,CIS Controls v8.1 Control titles and implementation-group structure support grouping safeguards into shared security capability areas.,approved_for_rollup,This catalog is at Control level. CIS v8.1 contains 153 safeguards; safeguard-level assessment and the CIS Assessment Specification are required for an audit conclusion.,"Add safeguard-level content, implementation groups, and CAS measurement procedures.",Safeguard,CIS Assessment Specification measures; procedure review where specified,Safeguard implementation status; organization-defined scope and exceptions,CIS safeguard scope; CAS inputs and measures; implementation evidence; exception record,"CIS Controls are a prioritized control set; this app provides readiness evidence, not CIS certification",Control-level rows are roll-up navigation until safeguard-level CAS content is loaded and reviewed,CIS Controls Assessment Specification safeguard measurement procedures,Determine whether the Malware Defenses safeguard area is implemented for the defined scope using the applicable CIS Assessment Specification measures.,Apply to the safeguards and implementation group in scope; record exclusions and dependencies.,"Applicable CAS measures and operating evidence meet the defined safeguard outcome, with exceptions owned and current.","Implementation evidence exists but one or more applicable measures, dependencies, or exceptions remain incomplete.",The safeguard outcome cannot be demonstrated with current evidence or the applicable measures are materially unmet.,,,,
