framework_key,review_status,mapping_type,confidence,basis,limitation,next_step
cis-controls-8.1,approved_for_rollup,rollup,medium,CIS Controls v8.1 Control titles and implementation-group structure support grouping safeguards into shared security capability areas.,This catalog is at Control level. CIS v8.1 contains 153 safeguards; safeguard-level assessment and the CIS Assessment Specification are required for an audit conclusion.,"Add safeguard-level content, implementation groups, and CAS measurement procedures."
cmmc-2.0-level-2,approved_for_rollup,rollup,medium,CMMC domain names and the NIST SP 800-171 practice families align to shared capability areas.,"Domain rows are not CMMC practices. Level 2 assessment requires practice-level evidence, scoring, and the applicable assessment methodology.","Add practice identifiers, assessment objectives, scoring rules, and C3PAO/self-assessment applicability."
dfars-cyber-clauses,approved_for_rollup,contextual,medium,"DFARS cyber clauses establish contract-specific obligations for covered information, reporting, assessment, and CMMC applicability.",Clause applicability and flowdown are contract-specific legal determinations; rows do not establish compliance or a DoD assessment score.,"Attach the contract, clause version, covered system boundary, flowdown register, and required assessment/reporting evidence."
fisma-rmf,approved_for_rollup,contextual,medium,"FISMA and the NIST RMF define federal risk-management activities that organize control selection, assessment, authorization, and monitoring.","FISMA/RMF is an overlay and process model, not a replacement for the selected NIST control catalog or agency policy.","Bind each system to agency policy, FIPS 199 categorization, selected SP 800-53 baseline, and current authorization evidence."
iso-27001-2022,approved_for_rollup,contextual,medium,Annex A control themes can be grouped into shared capability areas for ISMS navigation and evidence reuse.,"Annex A is a reference set, not a substitute for ISO 27001 clauses, risk treatment, or the Statement of Applicability. The current four rows are group summaries.","Add clauses, all applicable Annex A controls, SoA inclusion/exclusion rationale, and implementation status."
nist-csf-2.0,approved_for_rollup,rollup,high,"The NIST CSF 2.0 Core explicitly organizes outcomes under Govern, Identify, Protect, Detect, Respond, and Recover.","CSF Functions are high-level outcomes, not prescriptive controls or a pass/fail checklist. Organizational Profiles and informative references are needed for an assessment decision.","Add categories and subcategories, current/target profiles, tiers, and informative-reference provenance."
nist-sp-800-171r3,approved_for_rollup,rollup,medium,NIST SP 800-171 Rev. 3 provides requirement families for protecting CUI in nonfederal systems.,Family rows are not requirement-level determinations and must not be silently treated as CMMC or contract compliance.,"Load requirement identifiers, assessment objectives, organization-defined parameters, CUI scope, and applicable contract rules."
nist-sp-800-53r5,approved_for_rollup,rollup,high,NIST SP 800-53 control-family names are authoritative groupings for organizing control coverage.,"A family is not an individual control. Audit use requires control IDs, enhancements, baselines, tailoring, and SP 800-53A assessment procedures.",Add control/enhancement content and bind each assessment to the selected baseline and assessment procedure.
omb-m-26-14,approved_for_rollup,rollup,medium,"The memo and appendices establish risk-based logging, inventory visibility, collection, retention, operations, CEM, and THIRF capability areas.","The current rows summarize memo outcomes and maturity concepts; agency implementation must bind to the applicable Logging Reference Architecture, Agency Logging Plan, and source paragraphs.","Add paragraph-level citations, LRA version, agency plan fields, and maturity calculation evidence."
pci-dss-4.0.1,approved_for_rollup,rollup,medium,PCI DSS requirement themes provide a stable grouping for navigation and evidence collection.,"Requirement groups are not the detailed v4.0.1 requirements and subrequirements. Validation also depends on scope, applicable testing procedures, and the selected ROC/SAQ path.","Add detailed requirements, subrequirements, testing procedures, applicability, and ROC/SAQ workflow."
