framework_key,requirement_key,implementation_title,implementation_steps,validation_method,owner_role,common_gap
omb-m-26-14,m26-14.inventory-visibility,Establish a governed system inventory,"1. Define the system boundary and include IT, OT, and IoT assets. 2. Choose a system of record such as CMDB, HWAM, or SWAM. 3. Normalize asset identifiers and ownership. 4. Reconcile inventory daily. 5. Record the numerator and denominator used for the maturity percentage.","Run a daily reconciliation search and retain the result as evidence. Review exceptions for unknown owner, stale last-seen time, and duplicate identity.",Asset or configuration manager,Unowned assets and inventory sources that cannot be reconciled
omb-m-26-14,m26-14.collection-coverage,Prove logging coverage per asset,1. Map each in-scope asset to required log categories. 2. Map categories to Splunk indexes and CIM data models. 3. Test event freshness and field completeness. 4. Test searchability in the hot tier and retrieval from the archive tier. 5. Report uncovered assets with an owner and due date.,"Use representative searches for identity, network, object, privilege, infrastructure, and security-tooling events. Store the search window, result count, and source identifier.",Security operations or data platform owner,Counting an index as covered without proving asset-to-source mapping
omb-m-26-14,m26-14.collection-operations,Operate detections as a measured capability,"1. Create detections for each baseline objective. 2. Map every detection to its source and response owner. 3. Test alert delivery and response routing. 4. Review false positives and missed detections on a defined cadence. 5. Track coverage as a percentage of baseline objectives, not as a dashboard count.",Run controlled alert tests and link resulting notable events or response records to the baseline objective and review date.,SOC manager,"Alerts exist but are not actionable, tested, or tied to a response workflow"
omb-m-26-14,m26-14.data-retention,Separate searchable and retrievable retention,1. Document searchable retention by index and source. 2. Document archive retention and restore procedure. 3. Perform a restore test at least at the target maturity level. 4. Record encryption and access controls. 5. Preserve retention exceptions and compensating controls.,Query a six-month searchable window where applicable and perform a documented archive restore test for the twelve-month retrieval requirement.,Data platform owner,Retention is stated in policy but never verified with a query or restore test
omb-m-26-14,m26-14.log-management,Protect integrity and access to logs,1. Enable encryption in transit and at rest. 2. Restrict access using least privilege. 3. Review access and workloads regularly. 4. Use integrity checks appropriate to the storage tier. 5. Require two-person approval for retirement at the highest maturity level.,"Collect configuration evidence, access review results, integrity-check output, and retirement approvals with timestamps.",Security or platform security owner,Encryption is documented but access integrity and retirement controls are not evidenced
omb-m-26-14,m26-14.minimum-baseline,Map minimum baseline objectives to data and detections,"1. Create a baseline register for identity, network, object, privilege, infrastructure, security tooling, indicators, anomalies, affected data, attack vectors, and automated alerts. 2. Assign source requirements. 3. Assign at least one detection or analytic where appropriate. 4. Test each mapping. 5. Track gaps as findings with owners.","Review the baseline register and require a passing source, analytic, and alert test before marking an objective covered.",SOC architect,Generic statements that do not identify data sources or measurable coverage
omb-m-26-14,m26-14.cem,Make continuous monitoring operational,1. Define SOC monitoring responsibilities and service windows. 2. Identify the event classes that must be monitored in real time. 3. Set alert severity and response SLAs. 4. Test escalation and closure. 5. Review detection health and tuning.,"Sample alert history, response tickets, escalation records, and detection health results for the assessment period.",SOC manager,Monitoring is described but not tied to response time or operational evidence
omb-m-26-14,m26-14.thirf,Make investigation data retrievable,1. Define hot and cold log tiers. 2. Document retrieval and centralization procedures. 3. Run a restore and replay test. 4. Practice exporting evidence for an investigation. 5. Record chain of custody and access approvals.,"Complete a tabletop or live retrieval test and attach the query, source list, restore timing, and investigation record.",Incident response lead,Cold data exists but cannot be retrieved in a useful timeframe
cis-controls-8.1,cis.01,Implement Inventory and Control of Enterprise Assets,"1. Define the accountable owner and scope for Inventory and Control of Enterprise Assets. 2. Publish the governing policy or procedure. 3. Implement the technical or operational safeguards. 4. Create a saved search or dashboard panel for measurable status where data is available. 5. Review evidence, exceptions, and due dates on a defined cadence.","Review the current approved document and the corresponding implementation evidence or Splunk tracking result. Confirm scope, freshness, exceptions, and owner. A document without operating evidence is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
cis-controls-8.1,cis.02,Implement Inventory and Control of Software Assets,"1. Define the accountable owner and scope for Inventory and Control of Software Assets. 2. Publish the governing policy or procedure. 3. Implement the technical or operational safeguards. 4. Create a saved search or dashboard panel for measurable status where data is available. 5. Review evidence, exceptions, and due dates on a defined cadence.","Review the current approved document and the corresponding implementation evidence or Splunk tracking result. Confirm scope, freshness, exceptions, and owner. A document without operating evidence is not a passing result. Record the test performed, assessor, date, and remediation required.",Control owner,"The requirement is documented but implementation, evidence, or review results are not current."
