framework_key,assessment_granularity,assessment_methods,assessment_method_reference,scoring_model,required_artifacts,audit_boundary,authority_statement
cis-controls-8.1,Safeguard,CIS Assessment Specification measures; procedure review where specified,CIS Controls Assessment Specification safeguard measurement procedures,Safeguard implementation status; organization-defined scope and exceptions,CIS safeguard scope; CAS inputs and measures; implementation evidence; exception record,"CIS Controls are a prioritized control set; this app provides readiness evidence, not CIS certification",Control-level rows are roll-up navigation until safeguard-level CAS content is loaded and reviewed
nist-csf-2.0,Category and Subcategory,Organizational profile; current/target profile comparison; informative references,NIST CSF 2.0 Core and Organizational Profiles,Profile outcome status and target gap; CSF does not prescribe a universal pass score,Organizational profile; current and target outcomes; risk context; implementation evidence,CSF outcomes support risk communication and prioritization; a profile result is not certification,Function-level rows are roll-up navigation until Core Category/Subcategory content is loaded
nist-sp-800-53r5,"Control, Enhancement, and Determination Statement","SP 800-53A assessment procedures using Examine, Interview, and Test methods",NIST SP 800-53A Rev. 5 assessment procedures,"Determination statement results with baseline, tailoring, ODP, and scope context",System security and privacy plans; control implementation evidence; assessment plan; assessment results; ODPs,Control-family rows are roll-up navigation and cannot replace control/enhancement assessment procedures,"Assessment-level approval requires source control identifiers, procedures, objects, and tailoring"
cmmc-2.0-level-2,Security Requirement Objective,"CMMC assessment objectives using Examine, Interview, and Test",CMMC Level 2 Assessment Guide and applicable CAP procedures,MET/NOT MET with CMMC scoring and POA&M eligibility rules,CMMC Assessment Scope; SSP and version; evidence/artifact inventory; assessor results; POA&M where allowed,This app supports readiness and self-assessment preparation; only the authorized assessment path can establish CMMC status,Domain-level rows are roll-up navigation until requirement objective content is loaded
iso-27001-2022,ISMS Clause and Annex A Control,"ISMS audit evidence, interviews, observation, sampling, and risk-treatment review","ISO/IEC 27001:2022 clauses, Annex A, and Statement of Applicability",Conformity findings and corrective actions; certification decision belongs to the certification body,ISMS scope; risk assessment; risk treatment plan; Statement of Applicability; policies; operating records; internal audit; management review,Annex A theme rows are roll-up navigation and do not establish ISO conformity or certification,Assessment-level approval requires clause/control identifiers and SoA applicability context
pci-dss-4.0.1,Requirement and Sub-Requirement,"PCI testing procedures: Examine, Observe, Interview; customized approach where documented",PCI DSS v4.0.1 requirement testing procedures and applicable SAQ/ROC,Requirement results reported through applicable SAQ or ROC and attestation path,Cardholder data environment scope; SAQ eligibility or ROC path; testing samples; remediation; AOC/attestation,"Requirement themes support readiness; the applicable acquirer, payment brand, QSA, or assessor determines validation",Requirement-theme rows are roll-up navigation until detailed requirement/testing-procedure content is loaded
omb-m-26-14,"Memo paragraph, Appendix baseline, and maturity benchmark","Agency Logging Plan review plus inventory, collection, retention, and maturity measurements",OMB M-26-14 paragraphs and Appendices B/C,Percentage of in-scope systems/assets meeting maturity benchmarks; reportable agency context required,Agency Logging Plan; LRA alignment; system inventory denominator; collection evidence; retention/restore evidence; maturity report,"A Splunk measurement is evidence toward agency reporting and does not replace agency plan, legal, or oversight obligations",Memo outcome rows are roll-up navigation until paragraph-level and maturity measurement content is loaded
fisma-rmf,"RMF task, control implementation, assessment result, and authorization decision","NIST RMF Prepare, Categorize, Select, Implement, Assess, Authorize, and Monitor activities",NIST SP 800-37 Rev. 2 and SP 800-53A assessment procedures,Agency-defined risk and authorization decision; no universal Splunk pass score,System security plan; categorization; baseline/tailoring; assessment results; authorization decision; POA&M; monitoring plan,FISMA/RMF rows support readiness and evidence management; agency officials and authorizing officials determine status,"Rows are foundational RMF obligations and must be bound to agency policy, system boundary, and selected controls"
dfars-cyber-clauses,Contract clause obligation and covered system evidence,Contract applicability review; document review; interview; technical evidence; incident and assessment record review,"DFARS 252.204-7012, 252.204-7019, 252.204-7020, and 252.204-7021","Contractual obligation status with applicability, evidence, reporting, and remediation state",Contract and flowdown register; covered system boundary; SSP; incident records; NIST assessment; CMMC applicability evidence,DFARS status is contract-specific; this app does not determine legal applicability or create a DoD assessment result,Rows are foundational clause obligations and require contract-specific applicability review
nist-sp-800-171r3,"Requirement family, requirement, and assessment objective","NIST SP 800-171A assessment objectives using examine, interview, and test evidence",NIST SP 800-171 Rev. 3 and applicable SP 800-171A assessment procedures,Organization or contract-defined determination model; CUI scope and POA&M rules apply where invoked,System security plan; CUI flow; control evidence; assessment results; plans of action; organization-defined parameters,Family rows are foundational navigation and do not replace requirement-level assessment or CMMC/contract obligations,Rows require requirement-level content and explicit CUI system scope before an assessment conclusion
