framework_key,framework_name,version,authority,summary,status,content_status,default_selected,source_url,content_digest
cis-controls-8.1,CIS Critical Security Controls,8.1,Center for Internet Security,"Prioritized safeguards for defending systems and networks against prevalent attacks, including the Governance function introduced with v8.1.",active,foundational,0,https://www.cisecurity.org/controls/v8-1,793e870781c2ed0eba21b4f2666d791f22ac71f23f60d69ec55218f07afa46d6
cmmc-2.0-level-2,CMMC 2.0 Level 2,2.0,U.S. Department of Defense,Practices for protecting Controlled Unclassified Information across fourteen cybersecurity domains at Level 2.,active,foundational,0,https://dodcio.defense.gov/CMMC/,b83f531a06502198fe554b1b9470d3daeefe32948c197c4c10e41d449a595be0
dfars-cyber-clauses,DFARS Cybersecurity Clauses,252.204-7012 / 7019 / 7020 / 7021,U.S. Department of Defense / DFARS,"Contractual cyber obligations for covered defense information, cyber incident reporting, NIST SP 800-171 assessments, and CMMC applicability.",active,foundational,0,https://www.acquisition.gov/dfars/204.7304-solicitation-provision-and-contract-clauses.,2277d15b97902171a28b1be029843baaaddb57fa18dbef4efb7e8448a88682c0
fisma-rmf,FISMA / NIST RMF,2014 RMF with current NIST SP 800-53 context,U.S. Federal Government / NIST,"Federal information-system risk management obligations covering categorization, control selection, implementation, assessment, authorization, and continuous monitoring.",active,foundational,0,https://csrc.nist.gov/projects/risk-management/about-rmf,0197dfaddfb6785731bbfca04fc3c19974b42869a6e75da807ad4488b17ee1ee
iso-27001-2022,ISO/IEC 27001,2022,International Organization for Standardization,Information security management system requirements with Annex A control themes for managing information security risk.,active,foundational,0,https://www.iso.org/standard/27001.html,a7093465423ab710530ffdfcb5bfb8e46bb46c88d148b3725b4b5bbdd0f81147
omb-m-26-14,OMB M-26-14,2026-05-22,Office of Management and Budget,"Risk-based agency logging and network visibility for continuous event monitoring and threat hunting, investigation, response, and forensics.",active,complete,1,https://www.whitehouse.gov/wp-content/uploads/2026/05/M-26-14-Ensuring-Effective-and-Efficient-Agency-Logging-and-Network-Visibility-to-Defend-Against-Evolving-Cyber-Threats.pdf,7f491beea2f33da2eea41e4ae360ab0e96215f47e7b1e84af79e941b42e7a47a
nist-csf-2.0,NIST Cybersecurity Framework,2.0,National Institute of Standards and Technology,"Outcome-oriented cybersecurity risk management organized around Govern, Identify, Protect, Detect, Respond, and Recover.",active,foundational,0,https://www.nist.gov/publications/nist-cybersecurity-framework-csf-20,53b486c05540b3250bdfec7c2d69742a73e4d50366ee8ffa6a77f34186352914
nist-sp-800-171r3,NIST SP 800-171 Rev. 3,Revision 3,National Institute of Standards and Technology,Security requirements for protecting the confidentiality of controlled unclassified information in nonfederal systems and organizations.,active,foundational,0,https://csrc.nist.gov/pubs/sp/800/171/r3/final,b98ec88ec6563cecf662ec13690c545c2f2f881c70f326f48656d773d200f9a1
nist-sp-800-53r5,NIST SP 800-53 Rev. 5,5.2.0,National Institute of Standards and Technology,"Security and privacy controls for information systems and organizations, organized into control families for risk-based tailoring.",active,foundational,0,https://csrc.nist.gov/pubs/sp/800/53/r5/upd1/final,257ba10cea96513749f5e459894c46364315237218095c86e3fb27611d13420b
pci-dss-4.0.1,PCI DSS,4.0.1,PCI Security Standards Council,Payment Card Industry Data Security Standard requirements for protecting payment account data.,active,foundational,0,https://www.pcisecuritystandards.org/standards/pci-dss/,82338caba0b2261a89e7997697575ca21734606565c4015c53d9bf77920bc113
